INFO:werkzeug: * Running on all addresses (0.0.0.0)
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://127.0.0.1:3111
 * Running on http://192.168.1.5:3111 (Press CTRL+C to quit)
INFO:werkzeug:127.0.0.1 - - [27/May/2022 23:10:25] "GET / HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [27/May/2022 23:10:25] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
INFO:werkzeug:127.0.0.1 - - [27/May/2022 23:10:26] "GET / HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [27/May/2022 23:10:26] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
INFO:werkzeug:127.0.0.1 - - [27/May/2022 23:10:27] "GET / HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [27/May/2022 23:10:27] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
INFO:werkzeug:127.0.0.1 - - [27/May/2022 23:10:27] "GET / HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [27/May/2022 23:10:27] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
INFO:werkzeug:127.0.0.1 - - [27/May/2022 23:10:27] "GET / HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [27/May/2022 23:10:27] "[36mGET /static/css/main.css HTTP/1.1[0m" 304 -
INFO:werkzeug:127.0.0.1 - - [27/May/2022 23:10:29] "GET / HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [27/May/2022 23:10:29] "GET /static/css/main.css HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [27/May/2022 23:10:29] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
INFO:werkzeug:127.0.0.1 - - [27/May/2022 23:10:29] "GET / HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [27/May/2022 23:10:29] "GET /static/css/main.css HTTP/1.1" 200 -
INFO:werkzeug:127.0.0.1 - - [27/May/2022 23:10:29] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
